rows,os,page,total,projects_curr_total_commitment,projects_curr_ibrd_commitment,projects_curr_ida_commitment,projects_id,projects_regionname,projects_countryname,projects_prodline,projects_lendinginstr,projects_lendinginstrtype,projects_supplementprojectflg,projects_projectstatusdisplay,projects_project_name,projects_board_approval_month,projects_totalamt,projects_borrower,projects_impagency,projects_countrycode,projects_countryshortname,projects_p2a_updated_date,projects_sector1_Name,projects_sector1_Percent,projects_theme1,projects_totalcommamt,projects_approvalfy,projects_source,projects_mjthemecode,projects_teamleadname,projects_boardapprovaldate,projects_url,projects_proj_and_ln_country,projects_mjtheme_namecode_name,projects_mjtheme_namecode_code,projects_country_namecode,projects_p2a_flag,projects_prodlinetext,projects_idacommamt,projects_ibrdcommamt,projects_lendprojectcost,projects_status,projects_productlinetype,projects_projectdocs,facets,projects_theme_list_name,projects_theme_list_code,projects_theme_list_seqno,projects_theme_list_percent,projects_theme_list_theme2_name,projects_theme_list_theme2_code,projects_theme_list_theme2_seqno,projects_theme_list_theme2_percent,projects_theme_list_theme2_theme3_name,projects_theme_list_theme2_theme3_code,projects_theme_list_theme2_theme3_seqno,projects_theme_list_theme2_theme3_percent,projects_closingdate,projects_ln_country_id,projects_ln_country_id_desc
100,0,1,22720,314,0,314,P178923,Western and Central Africa,['Western and Central Africa'],PE,Investment Project Financing,IN,N,Active,WAPP Ghana-Cote d'Ivoire Interconnection Project - Phase 1 WA-REMP MPA,December,"314,000,000","Republic of Ghana, Ministry of Energy, Ministry of Oil, Energy and Development of Renewable Energies, Republic of C�te d'Ivoire",West Africa Power Pool (WAPP) Secretariat,['3W'],Western and Central Africa,2024-12-23 00:00:00.0,,0,!$!0,"314,000,000",2025,['IBRD'],7,"Tamaro Kane,Claire Marion Nicolas,Frederic Verdol,Maame Tabuah Ankoh,Tu Chi Nguyen",2024-12-22T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P178923,['3W'],,7,415000000!$!3W,Y,IBRD/IDA,"314,000,000",0,"421,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,280,0,280,P176429,South Asia,"[""People's Republic of Bangladesh""]",PE,Investment Project Financing,IN,N,Active,Chattogram Water Supply Improvement Project,December,"280,000,000",People's Republic of Bangladesh,Chattogram Water Supply and Sewerage Authority,['BD'],Bangladesh,2024-12-22 00:00:00.0,,0,!$!0,"280,000,000",2025,['IBRD'],1,"NIL,Arif Ahamed,Harsh Goyal",2024-12-19T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P176429,['BD'],,1,391000000!$!BD,Y,IBRD/IDA,"280,000,000",0,"397,000,000",Active,L,[],nil,Environment and Natural Resource Management,80,1,0,Energy,86,2,0,Energy Efficiency,861,3,0,nil,nil,nil
100,0,1,22720,0,0,0,P507508,South Asia,['Republic of India'],PE,Program-for-Results Financing,PR,nil,Active,Amaravati Integrated Urban Development Program,December,0,nil,nil,['IN'],India,2024-12-22 00:00:00.0,,0,!$!0,0,2025,['IBRD'],8,"Balakrishna Menon Parameswaran,Gerald Paul Ollivier",2024-12-19T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P507508,['IN'],,8,nil,Y,IBRD/IDA,0,0,0,Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,500,0,500,P180439,South Asia,"[""People's Republic of Bangladesh""]",PE,Development Policy Lending,AD,N,Active,Second Bangladesh Green and Climate Resilient Development Credit,December,"500,000,000",People's Republic of Bangladesh,"Finance Division, Ministry of Finance",['BD'],Bangladesh,2024-12-22 00:00:00.0,,0,!$!0,"500,000,000",2025,['IBRD'],5,"Ana Luisa Gomes Lima,Souleymane Coulibaly",2024-12-19T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P180439,['BD'],,5,0!$!BD,Y,IBRD/IDA,"500,000,000",0,"500,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1/15/2026 12:00:00 AM,nil,nil
100,0,1,22720,0,0,0,P507116,Eastern and Southern Africa,['Republic of Zambia'],PE,Development Policy Lending,AD,nil,Active,First Zambia Climate and Economic Resilience Programmatic DPF with Cat-DDO,December,0,nil,nil,['ZM'],Zambia,2024-12-20 00:00:00.0,,0,!$!0,0,2025,['IBRD'],8,"Albert Pijuan Sala,Ignacio M. Urrutia Duarte,Jorge Fernando Tudela Pye",2024-12-18T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P507116,['ZM'],,8,nil,Y,IBRD/IDA,0,0,0,Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,12/31/2027 12:00:00 AM,nil,nil
100,0,1,22720,100,0,100,P179138,Western and Central Africa,['Republic of Togo'],PE,Investment Project Financing,IN,N,Active,Togo Digital Acceleration Project,December,"100,000,000",Togolese Republic,Ministry of Digital Economy and Digital Transformation,['TG'],Togo,2024-12-20 00:00:00.0,,0,!$!0,"100,000,000",2025,['IBRD'],7,"Aneliya Muller,Natalija Gelvanovska-Garcia,Xavier Stephane Decoster",2024-12-18T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P179138,['TG'],,7,100000000!$!TG,Y,IBRD/IDA,"100,000,000",0,"100,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,0,0,0,P506463,Europe and Central Asia,['Ukraine'],PE,Development Policy Lending,AD,nil,Active,Second Growth Foundations Development Policy Operation,December,0,nil,nil,['UA'],Ukraine,2024-12-19 00:00:00.0,,0,!$!0,0,2025,['IBRD'],10,"Karlis Smits,Florian Michael Blum",2024-12-17T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P506463,['UA'],,10,nil,Y,IBRD/IDA,0,0,0,Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6/30/2026 12:00:00 AM,nil,nil
100,0,1,22720,187,0,187,P181166,Latin America and Caribbean,['Republic of Honduras'],PE,Investment Project Financing,IN,N,Active,Honduras Sustainable Connectivity Project,December,"187,000,000",nil,nil,['HN'],Honduras,2024-12-20 00:00:00.0,,0,!$!0,"187,000,000",2025,['IBRD'],1,"Eric R. Lancelot,Rohan Shah",2024-12-17T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P181166,['HN'],,1,150000000!$!HN,Y,IBRD/IDA,"187,000,000",0,"150,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,86,86,0,P504629,Eastern and Southern Africa,['Republic of the Sudan'],PE,Investment Project Financing,IN,nil,Active,Sudan Health Assistance and Response to Emergencies,December,"86,000,000",nil,nil,['SD'],Sudan,2024-12-16 00:00:00.0,,0,!$!0,"86,000,000",2025,['IBRD'],2,"Amr Elshalakani,Abeyah A. Al-Omair,Moustafa Mohamed ElSayed Mohamed Abdalla",2024-12-13T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P504629,['SD'],,2,0!$!SD,Y,IBRD/IDA,0,"86,000,000","86,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,100,100,0,P505963,Eastern and Southern Africa,['Republic of the Sudan'],PE,Investment Project Financing,IN,nil,Active,Sudan SANAD - Emergency Crisis Response Safety Net Project,December,"100,000,000",nil,nil,['SD'],Sudan,2024-12-16 00:00:00.0,,0,!$!0,"100,000,000",2025,['IBRD'],7,"Endashaw Tadesse Gossa,Mohamed Abdel Jelil",2024-12-13T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P505963,['SD'],,7,0!$!SD,Y,IBRD/IDA,0,"100,000,000","100,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,0,0,0,P506425,East Asia and Pacific,['Republic of Kiribati'],PE,Investment Project Financing,IN,nil,Active,Kiribati Kiritimati Infrastructure Project,December,0,nil,nil,['KI'],Kiribati,2024-12-16 00:00:00.0,,0,!$!0,0,2025,['IBRD'],11,"Joyce Onguglo,Anita Shrestha,Fiona J Collin",2024-12-13T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P506425,['KI'],,11,nil,Y,IBRD/IDA,0,0,0,Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,3/31/2031 12:00:00 AM,nil,nil
100,0,1,22720,25,0,25,P181310,Western and Central Africa,['Republic of Cabo Verde'],PE,Development Policy Lending,AD,N,Active,Cabo Verde Second Fiscal Space and Sustainable Growth Development Policy Financing,December,"25,000,000",Gilson Pina,nil,['CV'],Cabo Verde,2024-12-16 00:00:00.0,,0,!$!0,"25,000,000",2025,['IBRD'],11,"Anna Carlotta Allen Massingue,Rosa Oteldina Delgado De Brito Delgado",2024-12-12T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P181310,['CV'],,11,0!$!CV,Y,IBRD/IDA,"25,000,000",0,"25,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,12/30/2025 12:00:00 AM,nil,nil
